card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
6 of Diamonds,Q of Diamonds,2 of Hearts | 6 of Clubs | J of Clubs | 6 of Spades | 8 of Hearts,2159
10 of Diamonds,J of Spades,5 of Diamonds | 8 of Clubs | 3 of Diamonds | J of Diamonds | 9 of Spades,4122
7 of Spades,4 of Diamonds,10 of Diamonds | 3 of Clubs | 3 of Diamonds | 10 of Hearts | 2 of Spades,3002
3 of Diamonds,8 of Hearts,7 of Diamonds | 10 of Clubs | 10 of Spades | 5 of Clubs | 6 of Clubs,4391
9 of Spades,4 of Hearts,6 of Clubs | A of Diamonds | 10 of Hearts | K of Hearts | 10 of Spades,4208
7 of Diamonds,6 of Spades,4 of Hearts | J of Hearts | 10 of Clubs | K of Hearts | 9 of Diamonds,6799
7 of Diamonds,Q of Hearts,Q of Diamonds | 2 of Diamonds | 10 of Clubs | 5 of Clubs | Q of Clubs,1774
Q of Spades,7 of Clubs,5 of Spades | 6 of Spades | 9 of Clubs | 6 of Diamonds | K of Spades,5143
3 of Diamonds,A of Clubs,10 of Hearts | 8 of Hearts | Q of Spades | 4 of Hearts | 5 of Spades,6395
7 of Spades,8 of Spades,5 of Diamonds | 4 of Clubs | 2 of Hearts | 5 of Clubs | J of Hearts,5455
3 of Hearts,4 of Hearts,2 of Hearts | 10 of Clubs | 9 of Spades | 9 of Hearts | 6 of Clubs,4602
3 of Diamonds,8 of Hearts,10 of Spades | 10 of Clubs | 6 of Spades | 3 of Clubs | 9 of Clubs,3000
7 of Diamonds,8 of Hearts,10 of Clubs | A of Clubs | 10 of Hearts | 8 of Diamonds | J of Spades,2941
A of Diamonds,2 of Hearts,2 of Spades | K of Clubs | 8 of Diamonds | 7 of Hearts | K of Spades,2710
6 of Hearts,3 of Hearts,6 of Clubs | J of Spades | 8 of Diamonds | 5 of Diamonds | K of Spades,5152
Q of Clubs,8 of Hearts,J of Hearts | 3 of Hearts | 9 of Diamonds | 9 of Clubs | 6 of Hearts,4527
2 of Spades,7 of Diamonds,4 of Hearts | 3 of Hearts | Q of Diamonds | 6 of Diamonds | J of Hearts,7072
K of Diamonds,7 of Clubs,2 of Hearts | 10 of Spades | 4 of Clubs | K of Hearts | 8 of Clubs,3689
Q of Clubs,8 of Diamonds,8 of Clubs | 4 of Clubs | K of Clubs | A of Hearts | 9 of Diamonds,4646
J of Hearts,9 of Hearts,10 of Diamonds | Q of Hearts | 6 of Spades | 9 of Clubs | 4 of Hearts,4526
8 of Clubs,5 of Diamonds,9 of Hearts | A of Hearts | J of Diamonds | 8 of Hearts | 4 of Diamonds,4666
Q of Diamonds,4 of Hearts,6 of Clubs | 8 of Clubs | J of Spades | 9 of Clubs | 8 of Hearts,4747
7 of Clubs,6 of Diamonds,K of Diamonds | 7 of Diamonds | A of Diamonds | A of Clubs | 8 of Diamonds,452
A of Clubs,3 of Spades,6 of Hearts | 10 of Spades | 10 of Hearts | 3 of Clubs | 2 of Hearts,2996
A of Hearts,4 of Hearts,10 of Hearts | J of Diamonds | J of Clubs | Q of Spades | Q of Clubs,2721
2 of Spades,7 of Hearts,6 of Clubs | 9 of Hearts | 8 of Hearts | J of Clubs | K of Hearts,6826
10 of Clubs,Q of Hearts,8 of Hearts | 2 of Hearts | J of Hearts | 4 of Diamonds | 2 of Diamonds,6066
2 of Spades,3 of Clubs,4 of Spades | 3 of Hearts | 6 of Hearts | 5 of Diamonds | J of Clubs,1608
2 of Diamonds,6 of Diamonds,A of Diamonds | 8 of Hearts | J of Clubs | 8 of Spades | 7 of Spades,4667
6 of Hearts,J of Spades,8 of Clubs | 10 of Hearts | 9 of Hearts | A of Hearts | 9 of Spades,4445
6 of Hearts,2 of Spades,K of Diamonds | 3 of Spades | 2 of Diamonds | 8 of Diamonds | A of Clubs,5970
Q of Diamonds,4 of Hearts,4 of Spades | 7 of Clubs | 4 of Clubs | J of Spades | 6 of Hearts,2291
8 of Clubs,K of Diamonds,J of Hearts | 5 of Clubs | 9 of Diamonds | A of Hearts | 2 of Clubs,6238
J of Clubs,5 of Hearts,J of Hearts | 7 of Clubs | Q of Spades | 7 of Spades | 6 of Spades,2866
7 of Diamonds,6 of Spades,7 of Hearts | J of Clubs | 8 of Spades | 8 of Clubs | 9 of Clubs,3098
2 of Diamonds,2 of Hearts,Q of Clubs | K of Spades | 5 of Clubs | 2 of Clubs | Q of Hearts,313
4 of Clubs,A of Hearts,A of Clubs | 10 of Spades | K of Diamonds | 6 of Clubs | 6 of Diamonds,2545
6 of Spades,2 of Diamonds,9 of Clubs | 9 of Spades | J of Spades | 6 of Diamonds | 8 of Spades,3043
J of Diamonds,A of Diamonds,2 of Hearts | 10 of Hearts | 8 of Diamonds | 6 of Clubs | A of Hearts,3427
6 of Clubs,5 of Clubs,10 of Hearts | 6 of Hearts | 3 of Diamonds | J of Hearts | Q of Clubs,5186
4 of Diamonds,10 of Spades,K of Hearts | 2 of Hearts | J of Diamonds | 6 of Clubs | 10 of Diamonds,4273
Q of Diamonds,3 of Hearts,A of Clubs | 8 of Hearts | 9 of Spades | 2 of Hearts | 8 of Clubs,4658
10 of Clubs,J of Diamonds,6 of Clubs | 5 of Spades | J of Clubs | A of Diamonds | J of Spades,1810
8 of Diamonds,10 of Diamonds,7 of Clubs | 8 of Spades | 3 of Diamonds | 5 of Clubs | A of Diamonds,4674
Q of Hearts,2 of Clubs,K of Hearts | 5 of Clubs | 3 of Clubs | 2 of Hearts | 10 of Hearts,6022
8 of Diamonds,10 of Clubs,10 of Spades | 5 of Hearts | 2 of Diamonds | Q of Diamonds | 6 of Hearts,4322
2 of Clubs,J of Diamonds,8 of Diamonds | 3 of Hearts | K of Clubs | K of Spades | J of Clubs,2615
4 of Clubs,2 of Diamonds,Q of Diamonds | A of Hearts | J of Spades | K of Clubs | 3 of Spades,6191
3 of Hearts,4 of Spades,A of Clubs | 10 of Clubs | 4 of Hearts | 9 of Clubs | 10 of Spades,2985
Q of Hearts,J of Spades,Q of Diamonds | 6 of Hearts | 4 of Spades | 5 of Spades | K of Spades,3825
10 of Hearts,7 of Clubs,K of Clubs | K of Diamonds | A of Diamonds | A of Hearts | 5 of Spades,2470
10 of Clubs,7 of Clubs,3 of Hearts | 10 of Spades | 5 of Spades | A of Spades | 3 of Clubs,2996
9 of Spades,10 of Hearts,5 of Clubs | 2 of Diamonds | 9 of Clubs | 7 of Diamonds | K of Clubs,4499
4 of Hearts,8 of Spades,2 of Spades | 9 of Spades | J of Spades | K of Spades | Q of Clubs,968
A of Hearts,4 of Hearts,8 of Spades | 5 of Clubs | 6 of Hearts | 7 of Hearts | A of Clubs,1606
9 of Clubs,6 of Clubs,K of Clubs | J of Spades | 2 of Spades | 7 of Clubs | 8 of Spades,6826
K of Clubs,7 of Diamonds,A of Clubs | 10 of Hearts | J of Clubs | 3 of Spades | K of Hearts,3556
5 of Spades,3 of Spades,5 of Hearts | 7 of Spades | K of Diamonds | 9 of Hearts | K of Spades,2681
5 of Hearts,6 of Clubs,7 of Diamonds | 5 of Diamonds | 2 of Clubs | Q of Hearts | K of Spades,5365
J of Hearts,Q of Spades,7 of Spades | 10 of Diamonds | 7 of Diamonds | 3 of Spades | A of Hearts,4876
J of Spades,10 of Hearts,8 of Diamonds | 10 of Clubs | A of Diamonds | 5 of Diamonds | K of Spades,4207
2 of Clubs,Q of Hearts,7 of Diamonds | 4 of Clubs | 8 of Diamonds | 3 of Hearts | 3 of Spades,5867
6 of Diamonds,Q of Hearts,A of Hearts | 8 of Hearts | 5 of Hearts | 4 of Hearts | Q of Diamonds,581
8 of Diamonds,5 of Diamonds,Q of Diamonds | 9 of Spades | 6 of Clubs | J of Hearts | 6 of Spades,5187
J of Diamonds,Q of Hearts,3 of Clubs | K of Spades | J of Spades | 5 of Clubs | 5 of Hearts,2887
K of Hearts,10 of Hearts,8 of Spades | 6 of Clubs | 2 of Clubs | 5 of Spades | Q of Hearts,6722
Q of Hearts,6 of Spades,J of Diamonds | 2 of Clubs | 10 of Clubs | 8 of Clubs | J of Clubs,4087
A of Diamonds,4 of Diamonds,4 of Spades | 7 of Spades | 3 of Clubs | 10 of Clubs | 7 of Clubs,3183
3 of Diamonds,4 of Clubs,4 of Diamonds | 7 of Diamonds | Q of Diamonds | 6 of Diamonds | 9 of Hearts,1342
2 of Diamonds,2 of Spades,2 of Clubs | Q of Spades | K of Hearts | 10 of Hearts | 10 of Clubs,315
6 of Spades,6 of Diamonds,K of Spades | 4 of Clubs | 3 of Hearts | 10 of Hearts | 9 of Spades,5158
8 of Diamonds,3 of Spades,10 of Hearts | K of Hearts | A of Hearts | 9 of Clubs | Q of Hearts,6194
A of Hearts,9 of Clubs,8 of Spades | 8 of Clubs | J of Hearts | K of Clubs | Q of Clubs,4646
8 of Spades,J of Diamonds,5 of Clubs | 9 of Spades | 6 of Clubs | 2 of Diamonds | Q of Hearts,7036
10 of Clubs,7 of Spades,Q of Diamonds | 6 of Clubs | A of Spades | 4 of Diamonds | 4 of Hearts,5537
4 of Hearts,10 of Spades,2 of Spades | 7 of Clubs | A of Hearts | 3 of Clubs | 8 of Hearts,6577
10 of Diamonds,4 of Spades,Q of Hearts | J of Diamonds | 3 of Clubs | 9 of Diamonds | 6 of Hearts,7009
10 of Diamonds,9 of Clubs,2 of Hearts | A of Spades | 9 of Hearts | 8 of Clubs | 6 of Clubs,4453
5 of Hearts,4 of Diamonds,7 of Clubs | K of Clubs | 2 of Clubs | 3 of Spades | 6 of Spades,1607
8 of Spades,7 of Clubs,Q of Spades | 9 of Clubs | 7 of Hearts | J of Diamonds | K of Hearts,4921
8 of Hearts,6 of Spades,7 of Clubs | A of Spades | 4 of Diamonds | J of Diamonds | J of Clubs,4020
9 of Spades,Q of Diamonds,9 of Hearts | 10 of Clubs | 2 of Diamonds | 4 of Hearts | K of Hearts,4482
4 of Clubs,A of Spades,A of Diamonds | 8 of Clubs | 10 of Diamonds | J of Hearts | 2 of Spades,3427
A of Spades,8 of Clubs,10 of Hearts | 7 of Clubs | 5 of Diamonds | 10 of Spades | J of Hearts,4226
3 of Clubs,9 of Diamonds,A of Diamonds | J of Clubs | 2 of Clubs | K of Diamonds | J of Spades,3988
J of Clubs,4 of Diamonds,10 of Spades | 10 of Diamonds | 6 of Hearts | 9 of Clubs | 10 of Clubs,1904
4 of Diamonds,A of Diamonds,Q of Spades | J of Spades | 7 of Hearts | 10 of Clubs | K of Diamonds,1600
6 of Hearts,8 of Diamonds,9 of Diamonds | 3 of Clubs | 7 of Clubs | 5 of Spades | 2 of Diamonds,1605
5 of Spades,8 of Spades,3 of Hearts | A of Hearts | Q of Diamonds | 8 of Diamonds | 2 of Diamonds,4661
A of Diamonds,2 of Diamonds,Q of Clubs | 9 of Hearts | J of Spades | 7 of Clubs | 3 of Clubs,6359
10 of Diamonds,3 of Spades,6 of Spades | Q of Diamonds | 8 of Spades | A of Hearts | 9 of Spades,6386
8 of Spades,Q of Hearts,9 of Hearts | K of Spades | 10 of Clubs | J of Clubs | 6 of Diamonds,1601
K of Spades,7 of Clubs,J of Spades | 6 of Spades | K of Clubs | Q of Diamonds | 2 of Diamonds,3604
6 of Clubs,8 of Diamonds,A of Diamonds | 8 of Hearts | 10 of Clubs | 2 of Clubs | 9 of Spades,4673
7 of Spades,K of Diamonds,J of Diamonds | 2 of Clubs | 8 of Diamonds | 7 of Hearts | Q of Diamonds,4921
7 of Hearts,Q of Diamonds,6 of Diamonds | 5 of Diamonds | 2 of Hearts | J of Spades | Q of Hearts,3887
10 of Hearts,5 of Hearts,7 of Hearts | 9 of Spades | J of Clubs | 2 of Clubs | 6 of Clubs,7222
6 of Spades,2 of Clubs,8 of Hearts | A of Clubs | 7 of Diamonds | A of Spades | A of Hearts,1655
Q of Spades,10 of Clubs,5 of Clubs | 6 of Clubs | 9 of Diamonds | 8 of Spades | 4 of Hearts,7092
K of Diamonds,4 of Spades,6 of Hearts | 9 of Diamonds | Q of Hearts | 2 of Diamonds | 7 of Hearts,6748
4 of Hearts,7 of Spades,3 of Spades | 5 of Diamonds | 8 of Spades | J of Hearts | A of Hearts,6520
7 of Diamonds,6 of Diamonds,3 of Hearts | 6 of Spades | 7 of Clubs | 5 of Diamonds | 10 of Hearts,3165
8 of Hearts,9 of Hearts,5 of Hearts | 9 of Clubs | 9 of Spades | 3 of Clubs | 4 of Diamonds,1987
6 of Hearts,3 of Clubs,J of Clubs | 6 of Spades | 3 of Diamonds | 4 of Spades | 7 of Diamonds,3241
4 of Hearts,J of Clubs,A of Spades | 2 of Hearts | 9 of Clubs | 8 of Clubs | 3 of Diamonds,6501
J of Diamonds,9 of Hearts,3 of Hearts | 3 of Diamonds | 10 of Diamonds | K of Hearts | 8 of Clubs,5810
J of Clubs,A of Diamonds,4 of Clubs | 7 of Diamonds | 6 of Clubs | 9 of Spades | 7 of Clubs,4886
8 of Hearts,9 of Spades,2 of Hearts | 4 of Clubs | 9 of Hearts | 3 of Hearts | Q of Clubs,4544
4 of Clubs,8 of Spades,2 of Spades | 7 of Diamonds | 9 of Hearts | 8 of Clubs | 9 of Spades,3023
2 of Clubs,10 of Diamonds,6 of Spades | 8 of Spades | 5 of Hearts | 3 of Clubs | K of Spades,6908
9 of Clubs,A of Hearts,A of Diamonds | J of Clubs | K of Diamonds | 8 of Diamonds | 6 of Hearts,3337
4 of Spades,10 of Clubs,2 of Hearts | A of Clubs | 5 of Diamonds | 5 of Clubs | 8 of Hearts,5334
5 of Spades,K of Clubs,9 of Hearts | 7 of Hearts | 3 of Diamonds | 5 of Hearts | K of Diamonds,2681
4 of Hearts,8 of Hearts,6 of Clubs | A of Diamonds | 10 of Clubs | A of Hearts | 4 of Diamonds,2570
9 of Diamonds,Q of Clubs,5 of Hearts | J of Clubs | K of Hearts | 6 of Diamonds | 8 of Spades,6686
2 of Clubs,Q of Clubs,4 of Spades | K of Clubs | 10 of Clubs | 9 of Hearts | 4 of Clubs,877
Q of Diamonds,K of Hearts,3 of Spades | 7 of Diamonds | Q of Spades | A of Diamonds | 6 of Clubs,3770
7 of Hearts,A of Clubs,9 of Diamonds | Q of Hearts | 9 of Hearts | K of Diamonds | 2 of Hearts,4426
K of Spades,4 of Clubs,A of Clubs | 3 of Hearts | 5 of Diamonds | 3 of Diamonds | 6 of Spades,5752
2 of Spades,3 of Clubs,4 of Hearts | 5 of Spades | K of Clubs | 9 of Spades | 2 of Hearts,6048
9 of Diamonds,3 of Clubs,J of Spades | 10 of Spades | 10 of Hearts | J of Diamonds | 7 of Spades,2834
4 of Spades,4 of Diamonds,10 of Hearts | 9 of Clubs | A of Diamonds | K of Hearts | A of Hearts,2567
J of Clubs,7 of Clubs,9 of Clubs | 3 of Diamonds | 4 of Clubs | 10 of Clubs | 6 of Spades,1361
K of Spades,6 of Clubs,10 of Diamonds | 9 of Clubs | A of Clubs | 8 of Diamonds | 3 of Hearts,6266
3 of Spades,8 of Clubs,5 of Clubs | J of Hearts | 2 of Spades | 4 of Hearts | 3 of Clubs,5897
A of Clubs,K of Hearts,A of Diamonds | Q of Diamonds | 3 of Clubs | Q of Clubs | 4 of Diamonds,2479
6 of Spades,6 of Diamonds,8 of Spades | J of Hearts | 3 of Spades | K of Hearts | 7 of Clubs,5152
4 of Diamonds,5 of Hearts,8 of Clubs | Q of Diamonds | Q of Hearts | 8 of Diamonds | 6 of Clubs,2760
3 of Spades,J of Clubs,7 of Spades | 4 of Hearts | 7 of Clubs | 5 of Diamonds | 6 of Clubs,1607
Q of Clubs,4 of Spades,3 of Clubs | 3 of Spades | 8 of Clubs | 10 of Clubs | J of Hearts,5846
5 of Diamonds,4 of Clubs,6 of Clubs | 3 of Hearts | 4 of Spades | 8 of Hearts | A of Spades,5567
2 of Diamonds,6 of Spades,10 of Spades | 9 of Clubs | J of Diamonds | 2 of Spades | A of Diamonds,5985
Q of Spades,4 of Hearts,7 of Hearts | 6 of Hearts | A of Diamonds | 5 of Diamonds | 3 of Diamonds,1607
10 of Spades,K of Hearts,6 of Spades | 4 of Hearts | K of Spades | 3 of Hearts | 9 of Spades,3684
7 of Clubs,A of Spades,A of Clubs | 8 of Hearts | 10 of Clubs | 5 of Clubs | 3 of Diamonds,3469
7 of Spades,2 of Hearts,5 of Diamonds | 2 of Clubs | 8 of Clubs | 4 of Hearts | 4 of Diamonds,3310
Q of Spades,K of Hearts,3 of Spades | A of Clubs | Q of Diamonds | 8 of Hearts | 3 of Hearts,2809
Q of Clubs,10 of Hearts,A of Spades | 8 of Spades | 5 of Diamonds | 2 of Clubs | K of Hearts,6195
5 of Hearts,J of Clubs,8 of Clubs | A of Clubs | 10 of Hearts | 10 of Clubs | J of Hearts,2831
J of Clubs,K of Spades,8 of Hearts | 2 of Diamonds | A of Diamonds | 7 of Hearts | 7 of Diamonds,4867
5 of Diamonds,A of Diamonds,K of Diamonds | 3 of Diamonds | 9 of Hearts | 7 of Clubs | 2 of Hearts,6301
A of Hearts,K of Diamonds,7 of Clubs | A of Clubs | 7 of Spades | 8 of Spades | 6 of Hearts,2534
K of Spades,2 of Hearts,8 of Clubs | K of Hearts | 3 of Hearts | 4 of Clubs | 3 of Clubs,2704
Q of Hearts,6 of Spades,7 of Diamonds | A of Diamonds | 2 of Clubs | 8 of Hearts | K of Diamonds,6209
4 of Diamonds,A of Diamonds,Q of Diamonds | A of Clubs | 3 of Spades | 5 of Hearts | 4 of Spades,2568
10 of Clubs,Q of Diamonds,2 of Clubs | 3 of Clubs | 2 of Hearts | 6 of Hearts | 9 of Diamonds,6074
10 of Hearts,2 of Spades,A of Spades | 2 of Hearts | 2 of Clubs | A of Hearts | 6 of Clubs,311
3 of Diamonds,A of Diamonds,5 of Diamonds | K of Hearts | 4 of Diamonds | 8 of Diamonds | 5 of Spades,798
7 of Hearts,6 of Diamonds,3 of Hearts | A of Spades | Q of Spades | 3 of Clubs | Q of Hearts,2809
5 of Hearts,9 of Clubs,3 of Spades | 6 of Diamonds | Q of Clubs | 2 of Hearts | 2 of Spades,6083
8 of Spades,9 of Spades,A of Diamonds | 7 of Hearts | 3 of Spades | 4 of Diamonds | 5 of Diamonds,6611
8 of Diamonds,7 of Diamonds,2 of Diamonds | K of Spades | 5 of Diamonds | 6 of Spades | A of Clubs,6315
5 of Spades,4 of Clubs,3 of Diamonds | 5 of Hearts | J of Clubs | A of Diamonds | A of Hearts,2558
K of Hearts,2 of Hearts,4 of Diamonds | 2 of Spades | 6 of Spades | 5 of Diamonds | 5 of Clubs,3283
2 of Hearts,A of Spades,9 of Spades | 3 of Diamonds | 6 of Diamonds | Q of Clubs | 4 of Hearts,6426
K of Spades,Q of Clubs,4 of Hearts | 6 of Diamonds | 9 of Hearts | 5 of Hearts | 2 of Clubs,6753
3 of Diamonds,4 of Clubs,6 of Clubs | 2 of Spades | A of Clubs | 6 of Diamonds | Q of Spades,5102
3 of Hearts,Q of Clubs,Q of Diamonds | 2 of Clubs | 5 of Diamonds | 9 of Clubs | Q of Hearts,1783
A of Spades,A of Diamonds,3 of Clubs | 7 of Clubs | 9 of Hearts | K of Hearts | 7 of Hearts,2534
8 of Clubs,K of Spades,6 of Hearts | 4 of Diamonds | 5 of Diamonds | 5 of Clubs | K of Hearts,2682
8 of Clubs,Q of Hearts,Q of Clubs | J of Hearts | 2 of Clubs | 7 of Spades | K of Hearts,3823
Q of Diamonds,9 of Hearts,J of Diamonds | 8 of Spades | K of Diamonds | K of Clubs | 5 of Clubs,3602
2 of Diamonds,Q of Diamonds,J of Spades | 8 of Spades | 6 of Hearts | K of Diamonds | 6 of Spades,5141
10 of Spades,3 of Hearts,6 of Hearts | 4 of Diamonds | 9 of Diamonds | 10 of Clubs | 2 of Diamonds,4382
2 of Spades,4 of Clubs,A of Diamonds | 10 of Hearts | 5 of Spades | 7 of Diamonds | A of Clubs,3476
K of Clubs,A of Diamonds,3 of Hearts | 2 of Hearts | 9 of Spades | 10 of Spades | 3 of Clubs,5748
9 of Spades,K of Hearts,5 of Diamonds | K of Diamonds | 2 of Clubs | 8 of Diamonds | 2 of Hearts,2714
6 of Diamonds,9 of Hearts,A of Diamonds | 7 of Diamonds | Q of Clubs | 7 of Clubs | J of Hearts,4876
J of Hearts,6 of Diamonds,2 of Hearts | K of Spades | 7 of Spades | 5 of Clubs | 2 of Diamonds,6033
4 of Hearts,8 of Diamonds,3 of Clubs | 10 of Spades | 7 of Clubs | 10 of Hearts | 3 of Hearts,3001
5 of Diamonds,Q of Clubs,8 of Hearts | 2 of Diamonds | 3 of Clubs | 8 of Spades | Q of Diamonds,2761
10 of Spades,6 of Spades,5 of Clubs | 4 of Hearts | 5 of Diamonds | 9 of Hearts | 2 of Spades,5472
Q of Spades,8 of Clubs,9 of Spades | 6 of Clubs | 4 of Clubs | 3 of Diamonds | 5 of Spades,7152
J of Clubs,7 of Hearts,9 of Diamonds | K of Spades | 8 of Clubs | 4 of Clubs | 6 of Clubs,6826
4 of Hearts,9 of Diamonds,6 of Spades | 10 of Clubs | A of Hearts | 7 of Spades | 8 of Spades,1604
Q of Diamonds,K of Hearts,9 of Hearts | 8 of Hearts | 8 of Diamonds | 9 of Spades | 7 of Spades,3019
Q of Clubs,Q of Hearts,6 of Spades | A of Hearts | 5 of Clubs | 7 of Hearts | 6 of Diamonds,2776
5 of Clubs,J of Hearts,3 of Diamonds | A of Clubs | K of Hearts | 3 of Clubs | 7 of Diamonds,5747
3 of Diamonds,Q of Spades,Q of Clubs | 5 of Diamonds | 7 of Diamonds | 7 of Spades | J of Clubs,2767
10 of Diamonds,4 of Spades,7 of Clubs | 10 of Hearts | 4 of Hearts | 6 of Diamonds | K of Diamonds,2986
7 of Clubs,2 of Hearts,4 of Clubs | J of Diamonds | 3 of Diamonds | 5 of Hearts | 7 of Spades,5024
2 of Spades,7 of Spades,J of Spades | 6 of Spades | 4 of Clubs | K of Diamonds | 4 of Spades,1468
J of Diamonds,4 of Diamonds,7 of Spades | 9 of Clubs | 10 of Clubs | A of Diamonds | 4 of Spades,5545
5 of Diamonds,K of Clubs,8 of Clubs | 6 of Hearts | K of Spades | 10 of Spades | 9 of Spades,3682
3 of Spades,J of Spades,Q of Spades | 7 of Hearts | 9 of Diamonds | 10 of Diamonds | 4 of Clubs,7008
9 of Hearts,5 of Diamonds,8 of Diamonds | 4 of Spades | 6 of Hearts | 2 of Diamonds | K of Clubs,6943
6 of Diamonds,4 of Hearts,J of Clubs | A of Diamonds | 7 of Hearts | 9 of Clubs | 5 of Hearts,6504
3 of Hearts,7 of Hearts,7 of Diamonds | 6 of Diamonds | Q of Spades | 4 of Hearts | 5 of Spades,1607
6 of Diamonds,7 of Spades,2 of Clubs | J of Spades | 10 of Hearts | 5 of Hearts | 7 of Diamonds,5004
2 of Clubs,8 of Clubs,9 of Diamonds | 4 of Clubs | Q of Clubs | 5 of Hearts | 7 of Diamonds,7148
5 of Clubs,K of Clubs,8 of Clubs | 5 of Diamonds | A of Diamonds | J of Hearts | 10 of Diamonds,5307
9 of Spades,3 of Spades,5 of Clubs | K of Hearts | 7 of Clubs | 8 of Spades | 3 of Hearts,5825
A of Spades,K of Spades,Q of Clubs | 7 of Spades | 2 of Spades | 3 of Spades | 10 of Hearts,476
9 of Spades,4 of Hearts,7 of Diamonds | 6 of Hearts | 4 of Clubs | Q of Spades | 5 of Spades,5642
2 of Spades,4 of Hearts,2 of Diamonds | 7 of Spades | 10 of Clubs | A of Spades | 6 of Hearts,5995
A of Spades,7 of Diamonds,Q of Spades | 8 of Hearts | 5 of Spades | 7 of Spades | K of Clubs,4866
6 of Diamonds,K of Clubs,Q of Hearts | 5 of Spades | 10 of Hearts | 4 of Hearts | 3 of Clubs,6732
2 of Spades,6 of Spades,9 of Spades | 7 of Clubs | 9 of Clubs | 7 of Diamonds | 7 of Hearts,256
3 of Spades,5 of Hearts,10 of Spades | 7 of Diamonds | K of Diamonds | A of Spades | 10 of Clubs,4210
10 of Hearts,3 of Hearts,Q of Hearts | 2 of Clubs | 8 of Spades | 10 of Diamonds | A of Clubs,4218
4 of Diamonds,A of Diamonds,10 of Hearts | J of Spades | 6 of Clubs | 9 of Hearts | Q of Diamonds,6350
8 of Clubs,J of Spades,2 of Clubs | 8 of Hearts | 3 of Hearts | 10 of Diamonds | 7 of Clubs,4783
6 of Spades,4 of Clubs,6 of Diamonds | 2 of Clubs | 9 of Spades | K of Spades | 9 of Hearts,3041
9 of Clubs,4 of Diamonds,5 of Hearts | 7 of Diamonds | 6 of Spades | K of Spades | 10 of Clubs,6888
7 of Clubs,A of Spades,K of Spades | 2 of Hearts | J of Diamonds | K of Clubs | K of Diamonds,1677
J of Clubs,8 of Hearts,4 of Spades | 10 of Diamonds | 4 of Hearts | 6 of Hearts | 3 of Clubs,5663
J of Spades,4 of Spades,K of Spades | A of Diamonds | 10 of Hearts | 6 of Spades | 8 of Diamonds,6231
3 of Diamonds,7 of Spades,A of Diamonds | K of Clubs | 3 of Spades | 9 of Clubs | 9 of Diamonds,3073
7 of Hearts,6 of Hearts,5 of Clubs | 2 of Spades | 4 of Clubs | 7 of Diamonds | 9 of Diamonds,5056
6 of Hearts,Q of Hearts,Q of Clubs | 6 of Clubs | J of Spades | J of Clubs | 2 of Clubs,2727
8 of Hearts,2 of Diamonds,8 of Clubs | 10 of Clubs | 4 of Hearts | Q of Clubs | 4 of Diamonds,3130
8 of Hearts,9 of Hearts,6 of Clubs | 6 of Spades | Q of Spades | K of Hearts | 4 of Diamonds,5143
Q of Spades,4 of Clubs,2 of Clubs | 2 of Diamonds | 10 of Diamonds | A of Hearts | 5 of Hearts,5977
10 of Hearts,A of Diamonds,5 of Clubs | J of Spades | K of Spades | K of Diamonds | A of Clubs,2469
4 of Hearts,2 of Hearts,5 of Diamonds | 2 of Clubs | 3 of Clubs | K of Spades | 2 of Diamonds,2420
8 of Clubs,6 of Spades,7 of Hearts | K of Diamonds | 2 of Diamonds | 7 of Clubs | A of Hearts,4870
2 of Diamonds,A of Diamonds,3 of Spades | 7 of Hearts | K of Hearts | 2 of Clubs | 9 of Spades,5969
10 of Spades,J of Clubs,7 of Clubs | A of Diamonds | 7 of Diamonds | 2 of Spades | 6 of Diamonds,4885
4 of Diamonds,10 of Diamonds,10 of Spades | A of Spades | 2 of Diamonds | 6 of Clubs | 9 of Spades,4235
Q of Clubs,5 of Diamonds,9 of Clubs | 5 of Clubs | K of Spades | 4 of Diamonds | J of Clubs,5361
8 of Clubs,4 of Hearts,9 of Spades | K of Clubs | 10 of Hearts | 7 of Diamonds | Q of Clubs,6714
J of Clubs,7 of Hearts,5 of Diamonds | J of Diamonds | K of Diamonds | Q of Hearts | K of Clubs,2612
7 of Clubs,4 of Diamonds,8 of Diamonds | K of Diamonds | 4 of Spades | K of Spades | Q of Hearts,2689
A of Clubs,10 of Clubs,K of Spades | 7 of Diamonds | Q of Diamonds | 8 of Hearts | 5 of Hearts,6195
3 of Hearts,8 of Hearts,4 of Hearts | K of Clubs | 4 of Clubs | 2 of Hearts | A of Clubs,5530
5 of Spades,9 of Spades,7 of Clubs | K of Diamonds | K of Spades | 9 of Diamonds | A of Spades,2633
9 of Spades,9 of Clubs,8 of Clubs | 8 of Diamonds | A of Spades | Q of Diamonds | 10 of Hearts,3018
7 of Hearts,5 of Diamonds,K of Diamonds | Q of Spades | 6 of Diamonds | 2 of Clubs | Q of Hearts,3851
8 of Clubs,9 of Hearts,6 of Diamonds | J of Hearts | 5 of Spades | K of Hearts | Q of Diamonds,6686
J of Clubs,7 of Hearts,5 of Spades | J of Spades | 10 of Spades | 2 of Diamonds | Q of Clubs,4088
8 of Clubs,9 of Hearts,Q of Spades | 4 of Clubs | A of Hearts | 10 of Hearts | 7 of Spades,6386
